-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2021 through 03/31/2024 
Location: Latitude  38.8897   Longitude -77.0924 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 70.81 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
CLRSKY_SFC_SW_DWN       CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_KT               CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
ALLSKY_SFC_LW_DWN       CERES SYN1deg All Sky Surface Longwave Downward Irradiance (W/m^2) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
CLRSKY_SFC_PAR_TOT      CERES SYN1deg Clear Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE               MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX                 MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                 MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN
2021,1,1,0.47,2.49,0.12,299.76,8.98,46.16,1.35,0.02,0.09,1.07,-0.09,0.49,1.0,4.16,2.77,-1.39
2021,1,2,2.2,2.76,0.54,299.48,39.69,50.02,4.94,0.07,0.34,4.35,2.97,3.66,3.97,8.38,9.91,1.54
2021,1,3,0.47,2.65,0.11,310.62,8.85,48.22,1.32,0.02,0.09,1.99,1.27,1.63,1.83,2.79,3.3,0.51
2021,1,4,1.31,2.53,0.31,288.55,23.64,43.89,3.16,0.03,0.16,2.22,0.28,1.25,1.65,9.23,7.33,-1.9
2021,1,5,1.03,2.53,0.25,300.42,19.1,43.59,2.62,0.02,0.13,2.36,0.71,1.54,1.64,5.3,5.4,0.09
2021,1,6,1.42,2.87,0.34,289.85,25.34,50.09,3.39,0.03,0.16,1.78,-0.7,0.55,1.47,6.36,5.44,-0.92
2021,1,7,3.0,3.02,0.71,238.95,51.97,52.95,5.86,0.05,0.29,0.7,-2.13,-0.71,0.39,7.85,5.55,-2.31
2021,1,8,1.4,2.94,0.33,282.56,25.98,52.12,3.53,0.04,0.2,-0.24,-2.54,-1.39,0.04,4.61,2.54,-2.06
2021,1,9,3.08,3.12,0.72,229.18,53.27,54.65,6.05,0.06,0.32,-0.06,-3.81,-1.93,-0.19,7.19,4.17,-3.02
2021,1,10,3.13,3.09,0.73,226.02,53.86,53.99,6.04,0.06,0.3,1.2,-1.9,-0.35,0.09,8.76,6.58,-2.18
2021,1,11,0.94,2.85,0.22,267.99,17.98,50.48,2.59,0.02,0.13,0.64,-0.27,0.19,-0.42,4.07,2.91,-1.16
2021,1,12,3.12,3.08,0.72,232.72,53.81,53.8,6.05,0.05,0.29,1.55,-1.73,-0.09,0.08,8.22,6.04,-2.18
2021,1,13,3.0,3.02,0.69,234.29,51.52,52.43,5.8,0.05,0.28,1.68,-1.24,0.22,0.83,9.56,7.75,-1.81
2021,1,14,2.99,3.04,0.67,242.2,50.86,52.25,5.8,0.05,0.26,3.71,0.77,2.24,2.32,10.08,10.15,0.08
